obs,andip,pp,type,prat,rep,freq,arcf,ds,dm,di,gyn,fat,dem,con,etude,forma,prot,moyen,mac,tete,instr,cesar,deliv,stres,doul,fract,dechi,rupt,embo,ru,atoni,modif,aNAlg,delai,pos,ocyto,ph,epi,vent,vecu,kiwi
1,2008,1,1,1,0,5,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2
2,1991,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2
3,2012,1,1,1,0,5,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2
4,2001,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0
5,1991,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2
6,2014,2,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2
7,2004,2,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
8,2004,2,3,1,0,0.3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2
9,2004,2,3,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2
10,2008,2,3,1,0,0.5,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2
11,2004,2,3,1,0,0.5,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1
12,2005,2,3,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2
13,1985,2,3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
14,1995,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,2
15,2005,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,2001,1,1,1,0,0.25,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,2
17,1985,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,2
18,2011,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,2
19,2001,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
20,1993,1,1,1,0,0.25,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,2
21,1996,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
22,2012,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
23,1995,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
24,2007,1,3,1,0,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,2
25,2010,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
